code,short_title,detailed_description,system_category,code_type,severity_level
P02C1,Cylinder 10 - Injector Leaking,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P02C2,Cylinder 11 - Fuel Trim at Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02C3,Cylinder 11 - Fuel Trim at Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02C4,Cylinder 11 - Injector Restricted,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02C5,Cylinder 11 - Injector Leaking,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P02C6,Cylinder 12 - Fuel Trim at Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02C7,Cylinder 12 - Fuel Trim at Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02C8,Cylinder 12 - Injector Restricted,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02C9,Cylinder 12 - Injector Leaking,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P02CA,"Turbocharger/Supercharger ""B"" Overboost Condition",System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P02CB,"Turbocharger/Supercharger ""B"" Underboost Condition",System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02CC,Cylinder 1 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02CD,Cylinder 1 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02CE,Cylinder 2 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02CF,Cylinder 2 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D0,Cylinder 3 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D1,Cylinder 3 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D2,Cylinder 4 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D3,Cylinder 4 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D4,Cylinder 5 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D5,Cylinder 5 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D6,Cylinder 6 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D7,Cylinder 6 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D8,Cylinder 7 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02D9,Cylinder 7 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02DA,Cylinder 8 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02DB,Cylinder 8 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02DC,Cylinder 9 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02DD,Cylinder 9 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02DE,Cylinder 10 Fuel Injector Offset Learning At Min Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02DF,Cylinder 10 Fuel Injector Offset Learning At Max Limit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P02E0,Diesel Intake Air Flow Control Circuit/Open,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P02E1,Diesel Intake Air Flow Control Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02E2,Diesel Intake Air Flow Control Circuit Low,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02E3,Diesel Intake Air Flow Control Circuit High,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02E4,Diesel Intake Air Flow Control Stuck Open,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P02E5,Diesel Intake Air Flow Control Stuck Closed,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P02E6,Diesel Intake Air Flow Position Sensor Circuit,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02E7,Diesel Intake Air Flow Position Sensor Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02E8,Diesel Intake Air Flow Position Sensor Circuit Low,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02E9,Diesel Intake Air Flow Position Sensor Circuit High,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02EA,Diesel Intake Air Flow Position Sensor Circuit Intermittent/Erratic,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02EB,Diesel Intake Air Flow Control Motor Current Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02EC,Diesel Intake Air Flow Control System - High Air Flow Detected,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02ED,Diesel Intake Air Flow Control System - Low Air Flow Detected,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02EE,Cylinder 1 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02EF,Cylinder 2 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F0,Cylinder 3 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F1,Cylinder 4 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F2,Cylinder 5 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F3,Cylinder 6 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F4,Cylinder 7 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F5,Cylinder 8 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F6,Cylinder 9 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F7,Cylinder 10 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F8,Cylinder 11 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02F9,Cylinder 12 Injector Circuit Range/Performance,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P02FA,Diesel Intake Air Flow Position Sensor Minimum/Maximum Stop,System: Fuel Injector Circuit. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0300,Random/Multiple Cylinder Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0301,Cylinder 1 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0302,Cylinder 2 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0303,Cylinder 3 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0304,Cylinder 4 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0305,Cylinder 5 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0306,Cylinder 6 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0307,Cylinder 7 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0308,Cylinder 8 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0309,Cylinder 9 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0310,Cylinder 10 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0311,Cylinder 11 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0312,Cylinder 12 Misfire Detected,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0313,Misfire Detected With Low Fuel,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0314,Single Cylinder Misfire (Cylinder not Specified),System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0315,Crankshaft Position System Variation not Learned,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0316,Engine Misfire Detected on Startup (First 1000 Revolutions),System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0317,Rough Road Hardware not Present,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0318,"Rough Road Sensor ""A"" Signal Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0319,"Rough Road Sensor ""B"" Signal Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0320,Ignition/Distributor Engine Speed Input Circuit Malfunction,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0322,Ignition/Distributor Engine Speed Input Circuit no Signal,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0323,Ignition/Distributor Engine Speed Input Circuit Intermittent,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0324,Knock Control System Error,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0325,Knock Sensor 1 Circuit,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0326,Knock Sensor 1 Circuit Range/Performance,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0327,Knock Sensor 1 Circuit low Input (Bank 1 or Single Sensor),System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0328,Knock Sensor 1 Circuit high Input (Bank 1 or Single Sensor),System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0329,Knock Sensor 1 Circuit Intermittent,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P032A,Knock Sensor 3 Circuit,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P032B,Knock Sensor 3 Circuit Range/Performance,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P032C,Knock Sensor 3 Circuit Low,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P032D,Knock Sensor 3 Circuit High,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P032E,Knock Sensor 3 Circuit Intermittent,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0330,Knock Sensor 2 Circuit,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0331,Knock Sensor 2 Circuit Range/Performance,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0332,Knock Sensor 2 Circuit Low Input (Bank 2),System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0333,Knock Sensor 2 Circuit High,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0334,Knock Sensor 2 Circuit Intermittent,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0335,"Crankshaft Position Sensor ""A"" Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0336,Crankshaft Position Sensor A Circuit Range/Performance,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0338,"Crankshaft Position Sensor ""A"" Circuit High",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0339,"Crankshaft Position Sensor ""A"" Circuit Intermittent",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P033A,Knock Sensor 4 Circuit,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P033B,Knock Sensor 4 Circuit Range/Performance,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P033C,Knock Sensor 4 Circuit Low,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P033D,Knock Sensor 4 Circuit High,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P033E,Knock Sensor 4 Circuit Intermittent,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0340,Camshaft Position Sensor Circuit Malfunction,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P0341,"Camshaft Position Sensor ""A"" Circuit Range/Performance",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0342,"Camshaft Position Sensor ""A"" Circuit Low",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0343,"Camshaft Position Sensor ""A"" Circuit High",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0344,"Camshaft Position Sensor ""A"" Circuit Intermittent",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0345,Camshaft Position Sensor A Circuit Malfunction (Bank 2),System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P0346,"Camshaft Position Sensor ""A"" Circuit Range/Performance",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0347,"Camshaft Position Sensor ""A"" Circuit Low",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0348,"Camshaft Position Sensor ""A"" Circuit High",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0349,"Camshaft Position Sensor ""A"" Circuit Intermittent",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0350,Ignition Coil Primary/Secondary Circuit,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0351,Ignition Coil A Primary/Secondary Circuit Malfunction,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P0352,"Ignition Coil ""B"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0353,"Ignition Coil ""C"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0354,Ignition Coil D Primary/Secondary Circuit Malfunction,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Critical-level severity within the Powertrain category.,Powertrain,Generic,Critical
P0355,"Ignition Coil ""E"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0356,"Ignition Coil ""F"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0357,"Ignition Coil ""G"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0358,"Ignition Coil ""H"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0359,"Ignition Coil ""I"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0360,"Ignition Coil ""J"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0361,"Ignition Coil ""K"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0362,"Ignition Coil ""L"" Primary/Secondary Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0363,Misfire Detected - Fueling Disabled,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0365,"Camshaft Position Sensor ""B"" Circuit",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Info-level severity within the Powertrain category.,Powertrain,Generic,Info
P0366,"Camshaft Position Sensor ""B"" Circuit Range/Performance",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0367,"Camshaft Position Sensor ""B"" Circuit Low",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0368,"Camshaft Position Sensor ""B"" Circuit High",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0369,"Camshaft Position Sensor ""B"" Circuit Intermittent",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0370,"Timing Reference High Resolution Signal ""A""",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0371,"Timing Reference High Resolution Signal ""A"" Too Many Pulses",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0372,"Timing Reference High Resolution Signal ""A"" Too Few Pulses",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0373,"Timing Reference High Resolution Signal ""A"" Intermittent/Erratic",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0374,"Timing Reference High Resolution Signal ""A"" no Pulses",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0375,"Timing Reference High Resolution Signal ""B""",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0376,"Timing Reference High Resolution Signal ""B"" Too Many Pulses",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0377,"Timing Reference High Resolution Signal ""B"" Too Few Pulses",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0378,"Timing Reference High Resolution Signal ""B"" Intermittent/Erratic",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0379,"Timing Reference High Resolution Signal ""B"" no Pulses",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P037D,Glow Plug Sense Circuit,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P037E,Glow Plug Sense Circuit Low,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P037F,Glow Plug Sense Circuit High,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0380,"Glow Plug/Heater Circuit ""A""",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0381,Glow Plug/Heater Indicator Circuit,System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
P0382,"Glow Plug/Heater Circuit ""B""",System: Ignition System. Source: SAE J2012 / ISO 15031. This code is classified as Warning-level severity within the Powertrain category.,Powertrain,Generic,Warning
